user_id,email,name,age,gender,city,signup_date,channel,signup_device,vip_grade,marketing_consent,last_login_date,total_spent,order_count,churn,engagement_score,support_tickets,support_level,onboarding_type,week1_activity_score,pre_promo_spent,post_promo_spent
39,u000039@hanmail.net,안하준,33,M,대전,23APR2023,email,mobile,platinum,1,27JUN2024,2711700,1,1,47.3,1,Low,C,62.0,58954,57616
40,u000040@gmail.com,이서윤,28,F,경기,01JUL2026,organic,pc,platinum,1,01JUL2026,2240960,7,0,64.9,2,High,C,57.0,54534,64352
41,u000041@gmail.com,강윤서,26,F,부산,26OCT2025,organic,pc,bronze,0,19MAY2026,92700,1,0,58.7,0,Low,B,56.9,52721,64181
42,u000042@naver.com,정민서,30,M,대구,28DEC2025,social,pc,platinum,0,28DEC2025,1904155,3,1,63.4,1,Low,B,54.3,45632,48767
43,u000043@daum.net,최은우,28,M,대전,28MAR2025,referral,pc,platinum,1,,1616600,2,1,58.7,0,Low,C,64.1,51738,54847
44,u000044@daum.net,이준호,49,M,경기,12FEB2024,email,mobile,platinum,1,29JUN2025,2209245,5,1,58.6,1,Low,C,62.5,56320,67593
45,u000045@kakao.com,오지우,43,M,대구,14JUN2025,organic,mobile,bronze,1,01MAY2026,73040,2,0,30.3,4,High,B,55.2,46482,51924
46,u000046@naver.com,박수아,37,M,경기,11DEC2025,social,mobile,bronze,1,11DEC2025,125700,2,1,41.4,1,Low,A,55.6,42827,48445
47,u000047@naver.com,강민준,25,M,경기,04MAY2025,paid_search,pc,bronze,0,04MAY2025,294150,3,1,47.4,3,High,A,69.7,35044,26575
48,u000048@hanmail.net,신지원,34,F,부산,30NOV2023,paid_search,pc,gold,0,25APR2026,1200425,2,0,71.7,0,Low,C,70.5,51142,48042
49,u000049@hanmail.net,윤서연,46,F,경기,25JUN2023,paid_search,mobile,vip,0,24JUL2025,4971485,9,1,74.1,2,High,B,78.5,42402,33309
50,u000050@gmail.com,신도윤,47,M,경기,22JUN2025,organic,mobile,platinum,0,22JUN2025,1798870,2,1,38.8,2,High,B,35.3,68643,68643
51,u000051@gmail.com,박지원,27,F,세종,20JAN2026,email,mobile,platinum,0,16MAY2026,2289560,2,0,66.7,2,High,C,75.6,53890,54258
52,u000052@naver.com,황도윤,54,F,서울,26DEC2025,paid_search,pc,vip,1,26DEC2025,3444920,5,1,61.2,1,Low,A,39.2,67788,71385
53,u000053@hanmail.net,권하준,26,F,서울,19FEB2025,social,tablet,platinum,1,30JAN2026,2261440,3,1,54.0,3,High,C,66.1,47359,45143
54,u000054@hanmail.net,조소율,41,M,인천,17APR2023,organic,mobile,silver,1,22MAR2026,352560,2,1,61.4,1,Low,C,49.5,26264,36031
55,u000055@naver.com,권지호,45,F,경기,08AUG2023,organic,mobile,vip,0,29MAR2025,4018660,4,1,80.4,1,Low,C,52.7,52826,58710
56,u000056@gmail.com,서하윤,54,M,대전,13OCT2023,paid_search,mobile,platinum,1,01AUG2024,2599935,6,1,75.2,4,High,C,55.3,65606,66365
57,u000057@hanmail.net,강지호,40,F,충남,09MAR2023,paid_search,mobile,platinum,1,,2215400,3,1,51.8,0,Low,A,61.9,64259,71639
58,u000058@daum.net,권현우,39,M,강원,22AUG2024,paid_search,mobile,gold,1,,1195745,2,1,54.6,4,High,C,63.7,46627,53532
59,u000059@kakao.com,안예은,24,M,경기,08MAR2026,email,mobile,vip,1,08MAR2026,7089380,4,1,78.1,1,Low,C,64.9,37266,41285
60,u000060@outlook.com,최서현,32,M,경기,07MAR2026,organic,mobile,platinum,0,07MAR2026,2039970,5,1,74.0,2,High,C,36.8,26039,29197
61,u000061@outlook.com,신지민,51,F,경기,05DEC2023,paid_search,mobile,platinum,1,28MAR2026,2813120,3,1,58.2,1,Low,A,49.2,23843,31339
62,u000062@gmail.com,권민준,40,M,경북,12APR2026,social,mobile,silver,1,12APR2026,547145,6,0,52.9,1,Low,B,57.6,43856,53003
63,u000063@outlook.com,오민준,14,M,경기,26FEB2026,organic,mobile,platinum,0,,2153380,5,1,48.3,4,High,B,53.0,24779,26004
64,u000064@daum.net,류민서,35,F,경기,24AUG2024,email,mobile,bronze,0,06AUG2025,117450,2,1,35.2,2,High,A,48.7,37515,45023
65,u000065@naver.com,임서윤,16,F,경남,24NOV2024,paid_search,mobile,platinum,0,03MAY2025,2508775,3,1,73.5,3,High,C,57.5,47114,50134
66,u000066@naver.com,강윤서,36,M,충남,06APR2023,social,mobile,vip,0,15MAY2026,5373680,3,0,87.7,0,Low,C,63.8,34288,43266
67,u000067@kakao.com,장지원,45,M,서울,23MAY2025,paid_search,mobile,platinum,1,23MAY2025,1583840,3,1,59.2,3,High,A,50.5,62490,67454
68,u000068@hanmail.net,이준호,32,M,대구,06AUG2024,social,pc,vip,0,24MAR2026,6710960,5,1,85.9,2,High,B,72.0,56630,61117
69,u000069@daum.net,최다은,24,F,서울,21JUN2026,organic,mobile,bronze,0,21JUN2026,0,0,0,47.4,2,High,B,42.7,72141,81685
70,u000070@outlook.com,장도윤,28,F,경북,01NOV2025,organic,pc,bronze,1,01NOV2025,229370,3,1,44.3,2,High,A,50.8,91789,104927
71,u000071@hanmail.net,권은우,36,M,경기,24OCT2025,social,mobile,silver,1,24OCT2025,334040,2,1,58.2,2,High,C,53.0,41857,52144
72,u000072@outlook.com,서주원,51,F,경남,20MAY2024,email,mobile,platinum,1,09OCT2024,2694020,4,1,83.1,1,Low,B,45.4,46803,53904
73,u000073@outlook.com,전지안,36,F,서울,25FEB2023,email,mobile,vip,1,14DEC2024,5593135,7,1,70.7,1,Low,B,59.8,50384,62552
74,u000074@outlook.com,윤민서,33,M,전북,29AUG2023,organic,tablet,silver,1,02FEB2026,376580,3,1,73.6,1,Low,A,39.0,58379,60871
75,u000075@daum.net,류지유,35,M,부산,13SEP2024,organic,mobile,platinum,1,05DEC2025,1526005,2,1,27.0,3,High,B,72.6,46525,54439
76,u000076@naver.com,류지우,41,F,서울,10JUN2024,organic,mobile,vip,1,08JUN2026,3568780,3,0,76.6,1,Low,A,51.4,71210,70915
77,u000077@naver.com,황채원,43,M,광주,19JAN2024,email,pc,platinum,0,,1810340,4,1,62.0,2,High,C,56.7,68742,71764
78,u000078@hanmail.net,한준우,37,M,충북,05SEP2025,organic,mobile,platinum,0,,1964570,4,1,57.8,0,Low,B,52.6,26689,19161
79,u000079@hanmail.net,임민준,40,M,서울,16FEB2023,organic,mobile,vip,0,09DEC2024,6814640,3,1,74.6,0,Low,B,58.2,52802,62229
80,u000080@daum.net,윤예은,29,M,경기,04OCT2023,organic,pc,vip,1,18MAY2026,4620100,2,0,44.1,1,Low,A,58.3,53415,64191
81,u000081@kakao.com,김다은,37,U,서울,16MAR2026,email,pc,vip,1,16MAR2026,3065480,4,1,62.2,3,High,A,47.3,37189,39133
82,u000082@naver.com,임하은,43,M,경기,30AUG2025,organic,pc,vip,1,30AUG2025,9486350,6,1,82.6,2,High,C,63.6,35007,38896
83,u000083@daum.net,송은우,51,M,경기,02DEC2025,organic,pc,platinum,0,02DEC2025,1998030,3,1,80.1,2,High,C,41.2,82366,89866
84,u000084@gmail.com,박하윤,43,F,서울,14JUL2023,referral,mobile,silver,1,,352640,1,1,47.3,1,Low,C,76.5,38357,43882
85,u000085@outlook.com,한지우,16,F,대구,27DEC2023,social,pc,vip,0,12APR2026,4025800,2,0,57.4,0,Low,B,41.7,42217,47519
86,u000086@hanmail.net,송지훈,29,M,서울,30APR2024,email,pc,bronze,0,20MAR2026,93700,2,1,43.2,0,Low,B,57.1,27749,39399
87,u000087@naver.com,박지훈,33,F,경남,18MAR2026,paid_search,pc,gold,0,18MAR2026,1321935,4,1,70.5,2,High,A,55.6,60336,69925
88,u000088@kakao.com,윤예은,49,F,서울,11APR2026,social,mobile,vip,0,11APR2026,3021660,1,0,68.9,1,Low,B,68.9,46600,61622
89,u000089@kakao.com,신지안,41,M,서울,30MAR2025,organic,mobile,silver,0,30SEP2025,378710,3,1,47.4,1,Low,A,43.6,45245,52822
90,u000090@gmail.com,강채원,36,F,인천,30AUG2023,social,mobile,bronze,0,,0,0,1,49.3,1,Low,C,63.7,36905,42611
91,u000091@hanmail.net,권지유,32,F,대구,10AUG2024,organic,pc,vip,0,,8226040,7,1,77.2,2,High,A,48.7,61597,68241
92,u000092@hanmail.net,신시우,46,M,대구,13FEB2023,email,mobile,vip,1,11JUN2026,3025615,4,0,77.0,3,High,B,48.2,68245,72020
93,u000093@daum.net,조소율,47,M,경기,03MAR2023,organic,mobile,gold,1,28AUG2025,1358400,1,1,50.4,1,Low,C,67.6,46983,58309
94,u000094@gmail.com,임은우,52,U,부산,29APR2023,social,mobile,gold,1,05FEB2026,1107590,2,1,54.0,3,High,B,37.8,27713,37986
95,u000095@outlook.com,권하준,52,M,서울,07NOV2023,organic,mobile,platinum,1,13MAR2026,1767155,4,1,55.9,1,Low,C,75.4,42051,36629
96,u000096@kakao.com,임서연,44,M,서울,13NOV2023,other,mobile,platinum,1,07JUN2026,2689100,2,0,45.5,1,Low,A,43.4,56855,66408
97,u000097@kakao.com,안민준,21,M,경기,16MAR2024,social,mobile,vip,1,25OCT2024,4655925,6,1,72.8,0,Low,C,66.9,41054,42402
98,u000098@gmail.com,류지원,26,F,인천,01APR2023,paid_search,tablet,silver,1,21NOV2024,682385,1,1,59.3,2,High,A,47.6,49816,51155
99,u000099@gmail.com,안다은,54,F,제주,25MAY2024,social,pc,platinum,0,21JUL2024,1950640,7,1,61.5,1,Low,A,54.8,48552,59441
100,u000100@kakao.com,오서현,14,M,울산,09NOV2025,paid_search,mobile,gold,0,17MAY2026,1305100,2,0,56.0,1,Low,B,67.2,62310,67239
101,u000101@gmail.com,권채원,40,M,전북,25JUL2025,social,mobile,silver,0,25JUL2025,427670,3,1,36.7,1,Low,C,65.3,72940,80478
102,u000102@gmail.com,오하은,40,M,대구,27DEC2024,organic,mobile,platinum,0,27DEC2024,2046780,4,1,56.5,2,High,B,51.0,49409,60414
103,u000103@hanmail.net,장지호,46,F,충북,11FEB2023,referral,tablet,silver,1,12AUG2024,313920,1,1,49.1,3,High,A,59.4,58337,65420
104,u000104@gmail.com,정시우,43,F,경기,19OCT2024,organic,pc,platinum,1,15NOV2024,2003960,3,1,51.6,1,Low,C,65.7,37388,40400
105,u000105@kakao.com,최유진,24,M,경기,12JAN2024,paid_search,pc,vip,0,01SEP2024,9028665,4,1,75.3,3,High,A,46.2,58556,64126
106,u000106@naver.com,오예준,24,F,경남,29FEB2024,paid_search,mobile,silver,1,15JUL2025,423710,5,1,59.4,2,High,C,70.5,48537,53421
107,u000107@kakao.com,황도윤,31,F,서울,22FEB2024,organic,mobile,gold,1,08JUL2026,1243920,2,0,82.3,0,Low,C,41.6,55947,57231
108,u000108@outlook.com,장유진,25,F,경기,08APR2025,paid_search,mobile,vip,0,04AUG2025,3521920,6,1,68.4,0,Low,B,47.1,23974,29489
109,u000109@outlook.com,박지우,46,F,경남,09OCT2023,organic,mobile,silver,0,12JUN2026,628900,6,0,58.9,1,Low,B,55.8,41001,48907
110,u000110@hanmail.net,박소율,20,F,울산,14JUL2024,organic,pc,gold,0,08JAN2025,1326100,4,1,58.1,0,Low,A,47.4,30827,32341
111,u000111@gmail.com,송예준,51,M,경기,06JUN2025,organic,mobile,bronze,0,06JUN2025,102640,1,1,25.8,0,Low,C,56.8,65650,71789
112,u000112@kakao.com,안지우,20,M,경기,05APR2023,organic,mobile,vip,0,,3989820,4,1,67.1,2,High,B,61.5,30424,35745
113,u000113@outlook.com,임도윤,50,M,경기,30NOV2023,paid_search,mobile,platinum,1,24JUL2025,2581070,6,1,64.3,3,High,A,56.1,71400,78629
114,u000114@daum.net,이서연,36,M,충남,06APR2023,paid_search,mobile,platinum,1,27JUN2026,1816460,4,0,91.8,1,Low,B,56.5,59223,63419
115,u000115@naver.com,한예준,35,M,부산,30MAY2025,social,pc,vip,1,24JUN2026,4246270,5,0,65.7,1,Low,B,38.0,64824,64266
116,u000116@kakao.com,박민서,61,F,서울,20JAN2026,paid_search,mobile,bronze,1,20JAN2026,199100,2,1,55.7,2,High,B,51.6,36791,45274
117,u000117@gmail.com,이서연,40,F,인천,26SEP2023,organic,mobile,silver,0,26NOV2025,757950,3,1,55.9,1,Low,B,42.2,60488,67595
118,u000118@hanmail.net,장유진,49,F,경기,23APR2023,paid_search,mobile,vip,0,09JUN2024,4853300,1,1,54.9,3,High,C,64.8,61487,56777
119,u000119@naver.com,류민서,29,F,부산,07FEB2025,referral,pc,platinum,1,15AUG2025,1624120,4,1,74.5,3,High,C,59.1,38570,46362
120,u000120@outlook.com,이준호,25,F,충북,23APR2025,social,mobile,vip,1,23APR2025,4419420,3,1,77.9,1,Low,A,59.0,48146,50893
121,u000121@outlook.com,류민서,28,M,경기,30APR2024,referral,mobile,bronze,1,31MAR2026,24930,1,1,56.5,1,Low,A,65.4,60805,60425
122,u000122@daum.net,이주원,31,F,대전,26AUG2025,organic,mobile,gold,1,26AUG2025,1075430,2,1,46.5,0,Low,B,68.6,44193,55086
123,u000123@daum.net,권지민,47,F,강원,31MAR2026,social,pc,vip,1,31MAR2026,3647115,3,1,84.1,1,Low,C,79.7,57647,69922
124,u000124@gmail.com,박하은,31,F,경기,19JUL2024,social,mobile,silver,1,15JUL2025,526440,2,1,37.5,3,High,B,43.5,59586,61246
125,u000125@daum.net,정지유,33,M,인천,15MAY2026,paid_search,mobile,platinum,1,15MAY2026,2930980,4,0,71.9,1,Low,A,56.5,17862,31931
126,u000126@naver.com,한서현,25,M,경기,30MAR2023,referral,pc,platinum,0,24MAY2026,1568355,2,0,87.5,1,Low,B,49.5,45532,50985
127,u000127@outlook.com,조민준,22,F,경북,10MAY2026,organic,pc,bronze,0,,46170,1,1,35.3,3,High,A,65.6,55443,51359
128,u000128@daum.net,강시우,53,U,서울,06MAY2024,organic,mobile,gold,0,05APR2025,1061840,4,1,50.8,2,High,C,65.5,60543,62431
129,u000129@gmail.com,신준우,24,M,서울,06JUN2023,paid_search,pc,gold,0,22MAY2026,876900,2,0,58.2,2,High,A,60.7,33841,29855
130,u000130@outlook.com,김소율,36,F,인천,04JUL2023,organic,mobile,silver,1,,789540,2,1,50.2,1,Low,A,47.3,50273,52289
131,u000131@daum.net,안현우,26,M,경기,15APR2023,email,tablet,silver,1,20JUN2025,796480,5,1,37.2,3,High,B,56.0,58039,61976
132,u000132@hanmail.net,안민준,36,M,경기,13AUG2024,referral,pc,vip,1,17DEC2024,5174260,4,1,71.1,4,High,B,64.7,65761,67061
133,u000133@outlook.com,신지원,34,F,인천,26OCT2025,organic,mobile,platinum,0,17MAY2026,2811220,3,0,50.9,2,High,A,51.6,53877,61881
134,u000134@naver.com,임다은,25,M,경기,24SEP2025,other,pc,vip,1,20DEC2025,3810560,4,1,72.9,2,High,C,48.9,55857,66074
135,u000135@outlook.com,윤현우,36,M,서울,28JAN2025,email,mobile,platinum,0,,1967800,3,1,50.0,2,High,C,79.0,66037,64731
136,u000136@outlook.com,윤준우,30,M,경북,03MAY2023,social,mobile,vip,0,04MAR2025,5583625,3,1,90.5,2,High,A,32.4,56907,62392
137,u000137@gmail.com,신하준,39,F,인천,23JUL2024,referral,mobile,silver,0,23JUL2024,672480,3,1,46.1,2,High,B,70.4,51118,63248
138,u000138@gmail.com,조예준,40,M,경기,09MAR2024,organic,mobile,vip,0,02APR2025,6383400,5,1,68.7,2,High,B,52.5,42099,45775
139,u000139@hanmail.net,강채원,46,M,서울,19MAR2026,organic,mobile,vip,0,19MAR2026,4355400,2,1,78.5,0,Low,C,54.1,41485,47600
140,u000140@gmail.com,최예준,20,M,경기,26JUN2026,email,mobile,bronze,1,28JUN2026,202800,2,0,36.6,1,Low,B,57.9,61136,70946
141,u000141@kakao.com,김하윤,49,M,경남,11FEB2023,paid_search,mobile,silver,1,13SEP2025,460015,4,1,57.5,2,High,C,47.7,60873,76062
142,u000142@gmail.com,권하윤,35,M,경기,30JAN2023,other,pc,vip,0,04JUN2025,4321875,3,1,84.6,1,Low,C,64.2,40318,31567
143,u000143@outlook.com,권하윤,35,M,충남,30MAY2026,referral,mobile,silver,1,30MAY2026,599800,4,0,35.4,0,Low,A,81.5,59976,64547
144,u000144@outlook.com,김지민,31,M,인천,03JUL2023,paid_search,pc,gold,0,25JUN2024,815765,3,1,59.0,3,High,A,72.1,56737,54215
145,u000145@daum.net,전지민,44,F,경기,05JUN2025,organic,mobile,platinum,0,07NOV2025,2630535,4,1,66.9,1,Low,A,36.4,59334,68381
146,u000146@gmail.com,박서연,37,M,충북,22MAY2023,referral,mobile,silver,0,,709355,2,1,65.9,3,High,A,54.0,40187,46136
147,u000147@naver.com,정도윤,24,M,대구,27MAR2026,organic,mobile,vip,0,08JUL2026,6598345,3,0,57.6,0,Low,C,51.7,49821,55890
148,u000148@gmail.com,정지훈,30,F,강원,28JAN2026,organic,pc,vip,1,,7227815,4,1,57.7,2,High,B,60.8,44234,51193
149,u000149@naver.com,최지호,23,F,경기,06FEB2023,referral,mobile,platinum,0,17DEC2025,1892320,2,1,67.8,1,Low,B,46.1,55214,57854
150,u000150@outlook.com,안지원,29,F,인천,22APR2024,referral,mobile,platinum,1,30SEP2025,1682120,4,1,64.1,3,High,C,76.2,56722,63831
151,u000151@hanmail.net,전은우,37,M,충남,19DEC2024,organic,mobile,silver,1,,329450,4,1,56.7,1,Low,C,63.3,43920,49146
152,u000152@kakao.com,신시우,14,M,인천,20NOV2025,social,mobile,platinum,1,21JAN2026,2760770,8,1,68.4,1,Low,B,46.6,64435,65150
153,u000153@daum.net,윤지안,42,M,충북,17AUG2024,paid_search,mobile,vip,1,08APR2026,3365620,4,1,57.3,1,Low,A,46.3,45639,55419
154,u000154@kakao.com,이윤서,24,M,충북,26MAY2023,organic,pc,bronze,1,27NOV2025,0,0,1,45.7,2,High,C,53.2,46203,53793
155,u000155@kakao.com,윤은우,24,F,경남,03MAR2024,referral,pc,gold,1,02MAY2025,1188000,4,1,62.1,0,Low,B,52.0,27857,20601
156,u000156@hanmail.net,김현우,31,F,부산,16JAN2026,social,mobile,vip,1,16JAN2026,5040980,5,1,61.0,3,High,B,42.3,23822,32331
157,u000157@gmail.com,최유진,33,F,경기,07NOV2023,organic,mobile,silver,1,18AUG2024,622450,3,1,79.0,3,High,B,48.0,36138,37820
158,u000158@outlook.com,류하윤,45,M,전북,03JUN2025,organic,mobile,silver,0,12JUN2025,314310,2,1,59.4,4,High,C,72.4,56190,63603
159,u000159@kakao.com,정수아,40,M,경기,09APR2026,social,mobile,bronze,1,09APR2026,125840,1,1,35.5,3,High,B,58.2,62486,72988
160,u000160@daum.net,정하준,20,F,세종,27JAN2024,paid_search,mobile,silver,1,01OCT2024,681675,4,1,64.2,0,Low,C,39.8,36087,48729
161,u000161@naver.com,전현우,49,M,경기,29DEC2023,other,mobile,vip,1,24OCT2024,4917145,4,1,57.4,1,Low,B,61.6,66778,70135
162,u000162@outlook.com,류지민,56,F,서울,16FEB2023,email,mobile,platinum,1,26SEP2025,1736100,3,1,70.5,2,High,C,60.1,40082,41545
163,u000163@outlook.com,오지훈,20,F,경기,21DEC2025,paid_search,pc,vip,1,21DEC2025,3890505,4,1,81.7,0,Low,A,46.3,70157,75131
164,u000164@hanmail.net,전지훈,16,F,대구,27FEB2025,organic,mobile,gold,0,27FEB2025,912040,4,1,46.9,1,Low,B,40.5,42785,58202
165,u000165@hanmail.net,김윤서,34,F,광주,14OCT2023,social,mobile,vip,1,06AUG2025,6684565,5,1,85.3,1,Low,A,45.6,36931,42701
166,u000166@kakao.com,조지우,22,F,서울,30OCT2025,organic,mobile,vip,1,30OCT2025,6202300,5,1,77.5,1,Low,C,54.1,35868,36935
167,u000167@outlook.com,안예은,27,M,부산,02JUN2024,organic,mobile,silver,1,26DEC2025,514800,2,1,65.3,4,High,C,57.5,65361,73302
168,u000168@outlook.com,이서윤,42,M,서울,10JAN2025,referral,pc,vip,1,18JUN2026,6744250,6,0,97.1,2,High,C,44.3,50482,59006
169,u000169@gmail.com,한민서,27,F,충남,14JUN2026,social,pc,platinum,1,14JUN2026,1804380,5,0,57.8,1,Low,C,60.3,51633,58954
170,u000170@kakao.com,조서현,56,F,경기,13JAN2023,social,pc,gold,1,23OCT2024,1183890,3,1,49.0,1,Low,A,56.3,30136,27984
171,u000171@naver.com,안지호,23,M,경기,10JAN2026,organic,pc,vip,1,10JAN2026,9191920,5,1,66.5,0,Low,B,54.6,53148,49848
172,u000172@kakao.com,박하은,37,F,서울,23AUG2025,social,mobile,bronze,1,23AUG2025,0,0,1,32.6,0,Low,A,61.3,46425,50027
173,u000173@outlook.com,강준호,45,M,충남,20JUL2025,other,mobile,bronze,0,13JAN2026,86400,1,1,48.3,2,High,A,34.5,57487,61525
174,u000174@gmail.com,한지민,26,M,울산,06AUG2024,organic,mobile,vip,1,23APR2025,7075005,3,1,78.2,0,Low,C,76.1,73616,77744
175,u000175@hanmail.net,송하윤,14,M,인천,18DEC2023,paid_search,mobile,bronze,0,28OCT2024,0,0,1,46.3,3,High,C,68.0,65193,68003
176,u000176@daum.net,송윤서,18,M,경기,22MAR2025,organic,mobile,silver,1,22MAR2025,604050,3,1,65.9,2,High,C,61.2,67716,66954
177,u000177@hanmail.net,임소율,56,M,경기,02OCT2024,paid_search,pc,platinum,0,23JUL2025,2497550,2,1,63.4,4,High,B,52.7,37626,47037
178,u000178@gmail.com,정도윤,29,M,경남,24JAN2026,email,mobile,gold,0,,1120185,5,1,76.3,2,High,B,52.1,48699,47550
179,u000179@hanmail.net,권서연,32,M,대전,05MAY2025,organic,pc,silver,0,31MAR2026,340095,2,1,50.4,1,Low,C,72.6,44817,47865
